OriginAirportName,DestAirportName,AverageArrivalDelay
Southwest Florida International,Denver International,81.0
John F. Kennedy International,Richmond International,71.0909090909091
Pittsburgh International,Raleigh-Durham International,63.0
Dallas/Fort Worth International,Kahului Airport,59.26315789473684
Metropolitan Oakland International,Logan International,54.111111111111114
Minneapolis-St Paul International,Richmond International,48.416666666666664
Newark Liberty International,Will Rogers World,47.27777777777778
Southwest Florida International,Theodore Francis Green State,44.0
Norfolk International,Minneapolis-St Paul International,39.421052631578945
Southwest Florida International,Buffalo Niagara International,38.4
Sacramento International,John F. Kennedy International,37.36363636363637
Chicago O'Hare International,Albuquerque International Sunport,36.91489361702128
Sacramento International,Philadelphia International,36.57142857142857
Theodore Francis Green State,Newark Liberty International,36.1578947368421
Kansas City International,Metropolitan Oakland International,36.0
William P Hobby,LaGuardia,36.0
Norman Y. Mineta San Jose International,John F. Kennedy International,34.8125
Cleveland-Hopkins International,Philadelphia International,34.76923076923077
Nashville International,Salt Lake City International,34.714285714285715
Dallas/Fort Worth International,Ted Stevens Anchorage International,34.3
Newark Liberty International,Baltimore/Washington International Thurgood Marshall,34.2
Philadelphia International,Portland International,33.4
Fort Lauderdale-Hollywood International,Richmond International,32.578947368421055
Phoenix Sky Harbor International,Raleigh-Durham International,31.789473684210527
Washington Dulles International,Phoenix Sky Harbor International,31.3
Richmond International,Minneapolis-St Paul International,31.263157894736842
San Francisco International,Sacramento International,31.168
Tucson International,Minneapolis-St Paul International,30.928571428571427
Washington Dulles International,Sacramento International,30.0
John F. Kennedy International,Cleveland-Hopkins International,30.0
Bob Hope,John F. Kennedy International,29.944444444444443
Logan International,Metropolitan Oakland International,29.88888888888889
John F. Kennedy International,Port Columbus International,29.3953488372093
Norfolk International,Newark Liberty International,28.794117647058822
Southwest Florida International,LaGuardia,28.475
Chicago Midway International,Albuquerque International Sunport,28.20754716981132
McCarran International,San Francisco International,27.962886597938144
Washington Dulles International,LaGuardia,27.921739130434784
General Mitchell International,Louis Armstrong New Orleans International,27.90909090909091
Luis Munoz Marin International,Bradley International,27.857142857142858
Norfolk International,Miami International,27.48076923076923
Memphis International,Tampa International,27.4375
Newark Liberty International,William P Hobby,27.18032786885246
Chicago Midway International,Jacksonville International,27.0
Washington Dulles International,Louisville International-Standiford Field,26.84
Palm Beach International,Chicago O'Hare International,26.29032258064516
Jacksonville International,John F. Kennedy International,26.235294117647058
Denver International,Theodore Francis Green State,26.12
John F. Kennedy International,Chicago O'Hare International,25.801324503311257
Portland International,Philadelphia International,25.714285714285715
Louis Armstrong New Orleans International,Ronald Reagan Washington National,25.333333333333332
John F. Kennedy International,George Bush Intercontinental/Houston,25.185185185185187
Newark Liberty International,Richmond International,24.979166666666668
Fort Lauderdale-Hollywood International,Pittsburgh International,24.594594594594593
Palm Beach International,LaGuardia,24.573643410852714
Ted Stevens Anchorage International,Dallas/Fort Worth International,24.571428571428573
Nashville International,Austin - Bergstrom International,24.21875
Cincinnati/Northern Kentucky International,LaGuardia,24.166666666666668
Baltimore/Washington International Thurgood Marshall,Will Rogers World,24.157894736842106
John F. Kennedy International,Minneapolis-St Paul International,23.870967741935484
Palm Beach International,Luis Munoz Marin International,23.8125
Fort Lauderdale-Hollywood International,Port Columbus International,23.764705882352942
Ronald Reagan Washington National,Newark Liberty International,23.762376237623762
San Francisco International,Fort Lauderdale-Hollywood International,23.670886075949365
Ted Stevens Anchorage International,George Bush Intercontinental/Houston,23.5
Chicago Midway International,Philadelphia International,23.412213740458014
Louisville International-Standiford Field,Cleveland-Hopkins International,23.35483870967742
McCarran International,Louisville International-Standiford Field,23.291666666666668
Port Columbus International,Miami International,23.216216216216218
Cleveland-Hopkins International,Buffalo Niagara International,23.083333333333332
Nashville International,John F. Kennedy International,22.866666666666667
General Mitchell International,John F. Kennedy International,22.705882352941178
Newark Liberty International,Salt Lake City International,22.666666666666668
Denver International,Raleigh-Durham International,22.535714285714285
Chicago Midway International,Newark Liberty International,22.47
San Diego International,Reno/Tahoe International,22.324324324324323
Cincinnati/Northern Kentucky International,Newark Liberty International,22.17142857142857
Nashville International,Newark Liberty International,22.14814814814815
San Francisco International,Miami International,21.925925925925927
Washington Dulles International,Pittsburgh International,21.9
Chicago O'Hare International,Louis Armstrong New Orleans International,21.73972602739726
Philadelphia International,Theodore Francis Green State,21.647058823529413
Chicago O'Hare International,Reno/Tahoe International,21.565217391304348
Tampa International,LaGuardia,21.56140350877193
George Bush Intercontinental/Houston,General Mitchell International,21.321428571428573
Chicago Midway International,Sacramento International,21.310344827586206
Luis Munoz Marin International,Washington Dulles International,21.25
General Mitchell International,George Bush Intercontinental/Houston,21.176470588235293
Chicago O'Hare International,Nashville International,21.164835164835164
Memphis International,Newark Liberty International,21.019607843137255
Denver International,Jacksonville International,21.0
Sacramento International,San Francisco International,20.74829931972789
LaGuardia,Southwest Florida International,20.61764705882353
Reno/Tahoe International,San Francisco International,20.615384615384617
Charlotte Douglas International,Newark Liberty International,20.580645161290324
San Diego International,Logan International,20.509090909090908
Newark Liberty International,Jacksonville International,20.492753623188406
McCarran International,Ronald Reagan Washington National,20.470588235294116
San Antonio International,Newark Liberty International,20.35
Bradley International,Los Angeles International,20.333333333333332
Logan International,Tampa International,20.280701754385966
Chicago Midway International,Portland International,20.26086956521739
Ted Stevens Anchorage International,San Francisco International,20.185185185185187
Eppley Airfield,Newark Liberty International,20.05263157894737
Detroit Metro Wayne County,Newark Liberty International,19.99421965317919
John F. Kennedy International,General Mitchell International,19.923076923076923
Buffalo Niagara International,Newark Liberty International,19.9
Portland International,Charlotte Douglas International,19.84
Chicago Midway International,Metropolitan Oakland International,19.8125
Norfolk International,LaGuardia,19.77777777777778
Norfolk International,Logan International,19.733333333333334
Newark Liberty International,General Mitchell International,19.537037037037038
Raleigh-Durham International,Cleveland-Hopkins International,19.529411764705884
Port Columbus International,John F. Kennedy International,19.44776119402985
Lambert-St. Louis International,George Bush Intercontinental/Houston,19.38095238095238
